Nome,Código,Tipo,Unidade,Preço,Status,Descrição
"Chatbot WhatsApp Business com IA",AI-001,Serviço,Projeto,"8500.00",Ativo,"Implementação de chatbot inteligente com IA generativa para WhatsApp Business. Inclui análise de requisitos, design de fluxos conversacionais, integração com APIs, treinamento do modelo e deploy. Automatiza atendimento, qualificação de leads e vendas 24/7."
"Consultoria em IA Generativa",AI-002,Serviço,Projeto,"15000.00",Ativo,"Consultoria estratégica para implementação de IA Generativa (ChatGPT, Claude, Gemini) em processos de negócio. Inclui assessment, identificação de use cases, POC, roadmap de implementação e estratégia de ROI."
"Automação de Processos com IA (RPA + IA)",AI-003,Serviço,Projeto,"12500.00",Ativo,"Automação inteligente de processos repetitivos usando RPA + IA. Inclui mapeamento de processos, design de automações, implementação, testes e documentação."
"Auditoria de Código e Arquitetura",MOD-001,Serviço,Projeto,"9500.00",Ativo,"Análise profunda de sistemas legados com foco em qualidade de código, arquitetura, performance e segurança. Entrega de relatório detalhado com recomendações priorizadas e roadmap de modernização."
"Migração de Sistema Legado",MOD-002,Serviço,Projeto,"28500.00",Ativo,"Migração completa de sistemas legados para arquiteturas modernas (cloud-native, microservices). Inclui análise, planejamento, migração de dados, refatoração, testes e go-live com zero downtime."
"Refatoração e Otimização de Performance",MOD-003,Serviço,Projeto,"11500.00",Ativo,"Refatoração de código e otimização de performance de aplicações existentes. Inclui profiling, identificação de gargalos, refatoração, testes de carga e documentação técnica."
"Design System Corporativo",UX-001,Serviço,Projeto,"16500.00",Ativo,"Criação de Design System completo e escalável com componentes reutilizáveis, guia de estilos, tokens de design e documentação. Inclui Figma, código React/Angular/Vue e Storybook."
"UX Research e Discovery",UX-002,Serviço,Projeto,"7500.00",Ativo,"Pesquisa de usuários, análise de comportamento, personas, jornadas de usuário e validação de hipóteses. Entrega de insights acionáveis e recomendações estratégicas de UX."
"Setup DevOps Completo (CI/CD)",OPS-001,Serviço,Projeto,"13500.00",Ativo,"Implementação de pipeline CI/CD completo com GitHub Actions/GitLab CI/Azure DevOps. Inclui containerização (Docker), orquestração (Kubernetes), monitoramento, logs e alertas."
"Monitoramento e Observabilidade",OPS-002,Serviço,Projeto,"8500.00",Ativo,"Implementação de stack de observabilidade (Prometheus, Grafana, ELK/Datadog). Inclui dashboards, alertas inteligentes, SLOs, documentação e treinamento."
"Segurança e Compliance (LGPD)",SEC-001,Serviço,Projeto,"14500.00",Ativo,"Auditoria de segurança, implementação de boas práticas, adequação à LGPD, penetration testing, plano de resposta a incidentes e documentação de compliance."
"Business Intelligence - Dashboard",DATA-001,Serviço,Projeto,"12500.00",Ativo,"Desenvolvimento de dashboards analíticos e BI usando Power BI/Tableau/Metabase. Inclui modelagem de dados, ETL, visualizações interativas e treinamento do time."
"Data Lake e Data Warehouse",DATA-002,Serviço,Projeto,"19500.00",Ativo,"Arquitetura e implementação de Data Lake/Warehouse em cloud. Inclui modelagem dimensional, pipelines de dados, governança e documentação."
"Treinamento Técnico Customizado",TRAIN-001,Serviço,Dia,"3500.00",Ativo,"Treinamento técnico personalizado para equipes em tecnologias específicas (React, Node.js, Cloud, DevOps, etc.). Inclui material didático, exercícios práticos e certificado."
"Mentoria Técnica (Tech Leader)",TRAIN-002,Serviço,Hora,"250.00",Ativo,"Sessões de mentoria técnica one-on-one ou em grupo para desenvolvedores e tech leads. Foco em arquitetura, boas práticas, code review e growth técnico."
"Pacote Startup MVP (90 dias)",PKG-001,Pacote,Projeto,"45000.00",Ativo,"Pacote completo para startups: MVP web + mobile, design system, infraestrutura cloud, CI/CD e 30 dias de suporte pós-lançamento. Ideal para validação rápida de produto."
"Retainer Mensal - Desenvolvimento",RET-001,Retainer,Mês,"18000.00",Ativo,"Alocação de squad dedicado (dev + PM) por 80h/mês para evolução contínua de produto. Inclui planejamento de sprints, desenvolvimento, code review e deploy."
"Suporte e Manutenção Mensal",SUP-001,Serviço Recorrente,Mês,"2500.00",Ativo,"Suporte técnico, correção de bugs, pequenas melhorias, monitoramento proativo e SLA de resposta. Ideal para clientes pós-projeto."
"Lovable to Production - Profissionalização de MVP",PROF-001,Serviço,Projeto,"22500.00",Ativo,"Transformação de protótipo criado em plataformas no-code/low-code (Lovable, V0, Bolt) em aplicação production-ready. Inclui auditoria completa, refatoração, setup de infraestrutura cloud, CI/CD, monitoramento básico, documentação técnica e 15 dias de suporte pós-deploy."
"SaaSification Package - Transformação em SaaS",SAAS-001,Serviço,Projeto,"38500.00",Ativo,"Transformação de aplicação single-tenant em SaaS multi-tenant completo. Inclui multi-tenancy, billing & subscription (Stripe/Asaas), autenticação OAuth2/SSO, planos & feature flags, onboarding, admin dashboard, API design, segurança (rate limiting, RBAC, audit logs)."
"Integration Hub - Pacote de Integrações",INT-001,Serviço,Projeto,"16500.00",Ativo,"Implementação de até 5 integrações essenciais para SaaS: pagamentos (Stripe, Asaas), autenticação social (Google, Microsoft), email (SendGrid, SES), storage (S3, Azure), analytics (GA, Mixpanel), WhatsApp (Meta API), AI (OpenAI, Gemini). Integrações adicionais: +R$ 2.500 cada."
"Lovable Code Audit - Auditoria Específica",AUD-001,Serviço,Projeto,"6500.00",Ativo,"Auditoria específica para código gerado por ferramentas de IA (Lovable, V0, Cursor, Bolt). Foco em qualidade de código, performance (bundle size, otimizações), segurança (vulnerabilidades, sanitização), arquitetura (escalabilidade) e boas práticas. Entrega: relatório detalhado + roadmap priorizado."
"SaaS Accelerator - Consultoria Estratégica",CONS-001,Serviço,Projeto,"12500.00",Ativo,"Consultoria estratégica para transformação de MVP em SaaS escalável. Inclui validação de Product-Market Fit, pricing strategy (modelagem de planos), decisões de tech stack, roadmap de features, growth strategy (aquisição) e definição de KPIs e dashboards."
"Lovable to SaaS Complete - Pacote Completo",PKG-002,Pacote,Projeto,"78500.00",Ativo,"Pacote completo de transformação: Lovable to Production + SaaSification + Integration Hub (5 integrações) + Code Audit + SaaS Accelerator + 30 dias suporte premium + documentação completa. Economia de R$ 18.000 vs serviços separados (valor normal: R$ 96.500)."
